pert_iname	moa
metacycline	Protein synthesis inhibitor
levopropoxyphene	Antitussive
benserazide	DOPA decarboxylase inhibitor
imidazolidinyl-urea	Antibiotic
ioversol	Radiopaque medium
iopromide	Radiopaque medium
sarafloxacin	Bacterial DNA Gyrase inhibitor
alfadolone	Diuretic|Thiazide diuretic
rivastigmine	Acetylcholinesterase inhibitor
methenamine	Bacterial DNA inhibitor
alfaxalone	Chloride channel agonist
pentetic-acid	Chelating agent
dimethadione	Oxazolidine antiepileptic
bephenium	Anthelmintic
urosiol	NRF2 activator
phthalylsulfathiazole	Dihydropteroate synthase inhibitor
iopamidol	Radiopaque medium
BRD-K92830582	Adrenergic receptor antagonist
guaiacol	Anesthetic - local
butacaine	Anesthetic - local
penbutolol	Adrenergic receptor antagonist
xamoterol	Adrenergic receptor agonist
pipemidic-acid	Bacterial DNA Gyrase inhibitor
cycloserine	Glutamate receptor agonist
monobenzone	Melanin inhibitor
methyl-dopate	Antihypertensive
aminophylline	Adenosine receptor antagonist
dieldrin	Enhancer of synaptic activity
BRD-K09784055	Apoptosis stimulant
emodin	11-beta-HSD1 inhibitor
methoxychlor	Estrogenic metabolite
chloroform	Solvent
CH-223191	Aryl hydrocarbon receptor antagonist
piperonyl-butoxide	Cytochrome P450 inhibitor
benzyl-alcohol	Anesthetic - local
melphalan	DNA alkylating agent|DNA inhibitor
malathion	Cholinesterase inhibitor
roxarsone	Antiprotozoal
kynurenic-acid	Glutamate receptor antagonist
norethynodrel	Progestogen hormone
BRD-K38704569	5-alpha reductase inhibitor
hydroxyprogesterone-caproate	Progesterone receptor agonist
dimetridazole	Bacterial DNA inhibitor
tetracycline	Bacterial 30S ribosomal subunit inhibitor
dichlorvos	Acetylcholinesterase inhibitor
ammonium-perfluorocaprylate	PIM inhibitor
SR-1664	PPAR receptor antagonist
SB-2343	MTOR inhibitor|PI3K inhibitor
sodium-butyrate	HDAC inhibitor
EGF-816	EGFR inhibitor
ACDPP	Glutamate receptor antagonist
lanatoside-c	Cardiac glycoside
GSK-650394	Serum/glucocorticoid regulated kinase inhibitor
digitoxin	ATPase inhibitor
L-744832	Farnesyltransferase inhibitor
sulfamethoxazole	PABA antagonist
methylparaben	Antifungal
ICG-001	Beta catenin inhibitor
SGC-0946	DOT1L inhibitor
BMS-265246	CDK inhibitor
BAM-7	BAX activator
UPF-1069	PARP inhibitor
TG-02	CDK inhibitor|FLT3 inhibitor|JAK inhibitor
LY-2835219	CDK inhibitor
NVP-ADW742	IGF-1 inhibitor
GZD-824	Bcr-Abl inhibitor
kasugamycin	Bacterial 30S ribosomal subunit inhibitor
decamethonium	Acetylcholine receptor agonist
naltrindole-hcl	Opioid receptor antagonist
idazoxan	Adrenergic receptor antagonist
BRD-K87349682	Adrenergic receptor agonist
delavirdine	Non-nucleoside reverse transcriptase inhibitor
dihydroergotamine-mesylate	Serotonin receptor agonist
pravadoline	Cyclooxygenase inhibitor
pancuronium	Acetylcholine receptor antagonist
BRD-K92490248	Glutathione transferase stimulant
debrisoquin	Adrenergic receptor antagonist
BRD-K42679315	GABA receptor antagonist
docebenone	Lipoxygenase inhibitor
pravastatin-lactone	HMGCR inhibitor
IBMX	Phosphodiesterase inhibitor
BRD-K81644801	Mineralocorticoid receptor antagonist
carbadox	Antibiotic
cefotaxime	Bacterial cell wall synthesis inhibitor
WZ-3105	CLK inhibitor
ZG-10	JNK inhibitor
PF-431396	Focal adhesion kinase inhibitor
GDC-0980	PI3K inhibitor
romidepsin	HDAC inhibitor
mericitabine	HCV inhibitor
capecitabine	Thymidylate synthase inhibitor
pemetrexed	Dihydrofolate reductase inhibitor|Thymidylate synthase inhibitor
EPZ-020411	PRMT inhibitor
AH-11110	Adrenergic receptor antagonist
carbendazim	Tubulin inhibitor
SGC-707	PRMT inhibitor
AZD-3463	ALK inhibitor|IGF-1 inhibitor
EPZ-005687	Histone lysine methyltransferase inhibitor
BMS-906024	Gamma secretase inhibitor
4-chlorophenylguanidine	Urokinase inhibitor
BRD-K36381762	Opioid receptor antagonist
nalmefene	Opioid receptor antagonist
trelagliptin	Dipeptidyl peptidase inhibitor
trandolapril	ACE inhibitor
8-bromo-cGMP	PKA activator
VU-0238429	Acetylcholine receptor agonist
levallorphan	Opioid antagonist
mdivi-1	Dynamin inhibitor
JNJ-17203212	TRPV antagonist
N-benzylnaltrindole	Opioid receptor antagonist
temocapril	ACE inhibitor
asiatic-acid	Apoptosis stimulant
DMH1	ALK inhibitor
BRD-K40331046	CDK inhibitor
BRD-K49236613	TRPV antagonist
SKF-91488	Histamine receptor agonist
NVP-BSK805	JAK inhibitor
protoporphyrin-ix	Heme oxygenase inhibitor
E-7449	PARP inhibitor
BRD-K38687824	Beta amyloid inhibitor
eltrombopag	Thrombopoietin receptor agonist
CCMI	Acetylcholine receptor allosteric modulator
SB-657510	Urotensin receptor antagonist
beta-funaltrexamine	Opioid receptor antagonist
SB-505124	ALK inhibitor
tariquidar	P-glycoprotein inhibitor
AS-1949490	SHIP2 phosphatase inhibitor
dioscin	Apoptosis stimulant
NSC-697923	Ubiquitin-conjugating enzyme inhibitor
sulfapyridine	PABA antagonist
AZ-960	JAK inhibitor
imidapril	ACE inhibitor
OG-L002	Histone lysine demethylase inhibitor
GSK-2801	Bromodomain inhibitor
amygdalin	Caspase activator
WP-1066	STAT inhibitor
drotaverine	Phosphodiesterase inhibitor
BAZ2-ICR	Bromodomain inhibitor
THZ-1	CDK inhibitor
hesperetin	ACAT inhibitor
TC-S-7006	MAP kinase inhibitor
CPI-360	Histone lysine methyltransferase inhibitor
URB-597	FAAH inhibitor
SU-16f	PDGFR inhibitor
PF-04457845	FAAH inhibitor
AMG-900	Aurora kinase inhibitor
hypoestoxide	IKK inhibitor
filanesib	Kinesin inhibitor
NSC-405020	Matrix metalloprotease inhibitor
JNJ-1661010	FAAH inhibitor
CFI-400945	Serine/threonine kinase inhibitor
STF-31	NAMPT inhibitor
SD-208	TGF-beta receptor inhibitor
azilsartan-medoxomil	ACE inhibitor|Angiotensin receptor antagonist|Insulin sensitizer
A-740003	Purinergic receptor antagonist
BRD-A27924917	GABA receptor antagonist
5-BDBD	Purinergic receptor antagonist
BRD-A38706605	Androgen receptor antagonist
metharbital	GABA receptor antagonist
BRD-K24255045	Androgen receptor antagonist
kifunensine	Mannosidase inhibitor
GGTI-297	GGTase inhibitor
SR-48692	Neurotensin receptor antagonist
BRD-K31460632	Serotonin receptor agonist
chrysamine-g	Beta amyloid inhibitor
SR-144528	Cannabinoid receptor antagonist
SKF-83822	Dopamine receptor agonist
SIB-1508Y	Acetylcholine receptor agonist
lactotensin	Neurotensin receptor agonist
SIB-1553A	Acetylcholine receptor agonist
SR-147778	Cannabinoid receptor antagonist
BRD-K18573821	Dopamine receptor antagonist
BRD-K18722736	Opioid receptor antagonist
SK-383933	Dopamine receptor agonist
alpha-methylserotonin	Serotonin receptor agonist
BRD-K31168993	Selective serotonin reuptake inhibitor (SSRI)
zonisamide	T-type calcium channel blocker
SR-12813	FXR agonist
PD-149163	Neurotensin receptor agonist
SKF-104078	Adrenergic receptor antagonist
MK-801	Glutamate receptor antagonist
ketocholesterol	HMGCR inhibitor
ionomycin	Calcium channel blocker
WAY-262611	WNT agonist
androstanol	CAR antagonist
IM-12	GSK inhibitor
ABC-294640	Sphingosine kinase inhibitor
dihydrocapsaicin	TRPV agonist
desmethylclomipramine	Selective serotonin reuptake inhibitor (SSRI)
TNP-470	Cell cycle inhibitor|Methionine aminopeptidase inhibitor
cardamonin	NFKB inhibitor
IWP-2	WNT inhibitor
BRD-K97808269	Glycolysis inhibitor
pyrvinium-pamoate	Androgen receptor antagonist
BML-210	HDAC inhibitor
PMSF	Serine protease inhibitor
M-344	HDAC inhibitor
FH-535	PPAR receptor antagonist
z-guggulsterone	FXR antagonist|Progesterone receptor agonist
BML-278	SIRT activator
BML-284	WNT agonist
zebularine	DNA inhibitor
A-23187	Divalent cation ionophore
penitrem-a	Potassium channel antagonist
carnosol	Antioxidant
AH-6809	Prostanoid receptor antagonist
huperzine-a	Acetylcholinesterase inhibitor|Glutamate receptor antagonist
ferulic-acid	Antioxidant
iodoquinol	Antiseptic
BRD-K76677554	Dopamine receptor antagonist
BRD-K41853443	Adenosine receptor antagonist
CFM-2	Glutamate receptor antagonist
3'-fluorobenzylspiperone	Dopamine receptor antagonist
dipyrocetyl	Chelating agent
MM77	Serotonin receptor antagonist
palmatine-chloride	Dopamine receptor antagonist
BRD-K21910317	ATP synthase inhibitor
paraxanthine	Adenosine receptor antagonist
chlorotrianisene	Estrogenic hormone
cephalothin	Bacterial cell wall synthesis inhibitor
sulfamethizole	Bacterial antifolate
fisetin	Aurora kinase inhibitor
tetrandrine	Calcium channel blocker
furazolidone	Bacterial DNA inhibitor
hydrochlorothiazide	Thiazide diuretic
anthraquinone	CDC inhibitor
pridinol	Muscle relaxant
eltanolone	Membrane integrity inhibitor
clidinium	Acetylcholine receptor antagonist
colchicine	Microtubule inhibitor
ajmaline	Sodium channel inhibitor
ZM-226600	Kir6 channel (KATP) activator
furaltadone	Bacterial DNA inhibitor
minocycline	Bacterial 30S ribosomal subunit inhibitor
fendiline	Calcium channel blocker
A-61603	Adrenergic receptor agonist
SKF-38393	Dopamine receptor agonist
salicylic-acid	Cyclooxygenase inhibitor|Prostanoid receptor antagonist|Prostanoid receptor inhibitor
PD-168393	EGFR inhibitor
voapaxar	Thrombin inhibitor
GSK-269962	Rho associated kinase inhibitor
avicin-g	NFKB inhibitor
tigecycline	Bacterial 30S ribosomal subunit inhibitor
BRD-K42573370	Nucleophosmin inhibitor
BRD-K50324045	Nucleophosmin inhibitor
arbidol	Cytochrome P450 inhibitor
ivabradine	HCN channel antagonist|Potassium channel blocker|Sodium channel inhibitor
metatinib	Bcr-Abl inhibitor
ABT-239	Histamine receptor antagonist
tipranavir	HIV inhibitor
SB-242235	P38 MAPK inhibitor
GDC-0980	MTOR inhibitor|PI3K inhibitor
perampanel	Glutamate receptor antagonist
halofantrine	Antimalarial
dapivirine	Non-nucleoside reverse transcriptase inhibitor
dexloxiglumide	CCK receptor antagonist
AMD-11070	CC chemokine receptor antagonist
BRD-K61195623	Tubulin inhibitor|Angiogenesis inhibitor|Apoptosis stimulant
voxtalisib	MTOR inhibitor|PI3K inhibitor
bruceantin	Protein synthesis inhibitor
zofenopril-calcium	ACE inhibitor
AZD-1981	CRTH receptor antagonist
tetrahydrouridine	Cytidine deaminase inhibitor
erteberel	Estrogen receptor agonist
PF-03814735	Aurora kinase inhibitor
epothilone-b	Tubulin inhibitor
pimecrolimus	Calcineurin inhibitor
indibulin	Tubulin inhibitor
rotigotine	Dopamine receptor agonist
ANR-94	Adenosine receptor antagonist
melantonin-ii	Melanocortin receptor agonist
PP-242	MTOR inhibitor
macelignan	Antioxidant|Anti-inflammatory
ASP-3026	ALK inhibitor
dynasore	Dynamin inhibitor
BRD-A18795974	Dopamine receptor agonist
alimemazine	Histamine receptor antagonist
monensin	Bacterial permeability inducer
sulfamethoxypyridazine	Bacterial antifolate
misoprostol	Prostanoid receptor agonist
cinchophen	Analgesic
khellin	Vasodilator
BRD-K27853494	Adrenergic receptor agonist
SMI-4a	PIM inhibitor
VLX-600	USP14 inhibitor
cebranopadol	Opioid receptor agonist
pramocaine	Topical anesthetic
JIB04	Histone lysine demethylase inhibitor
ginkgolide-a	GABA receptor antagonist
betaescin	Interleukin inhibitor
NH-125	Eukaryotic translation initiation factor inhibitor
melengestrol	Carcinogen|Steroidal progestin
cantharidin	Protein phosphatase inhibitor
BRD-K65508953	Pyrrolizidine alkaloid
ML-347	ALK inhibitor
fenoprofen	Prostagladin inhibitor
GSK-2816126	Histone lysine methyltransferase inhibitor
kanamycin	Bacterial 30S ribosomal subunit inhibitor
DDR1-IN-1	Discoidin domain receptor inhibitor
almotriptan	Serotonin receptor agonist
butirosin	Bacterial 30S ribosomal subunit inhibitor
2-iodomelatonin	Melatonin receptor agonist
betamethasone-valerate	Glucocorticoid receptor agonist
TCS-2002	GSK inhibitor
BRD-K96737756	Bacterial 30S ribosomal subunit inhibitor
AG-1024	IGF-1 inhibitor
ciproxifan	Histamine receptor antagonist
7-hydroxystaurosporine	CDK inhibitor|CHK inhibitor|PKC inhibitor
canrenone	Mineralocorticoid receptor antagonist
alexidine	Phosphatidylglycerophosphatase inhibitor
tilorone	Interferon inducer
pentolinium	Cholinergic receptor antagonist
ONX-0914	Proteasome inhibitor
benzethonium	Sodium channel inhibitor
UNC-1999	Histone lysine methyltransferase inhibitor
prasugrel	Purinergic receptor antagonist
clavulanic-acid	Lactamase inhibitor
ADL-5859	Opioid receptor agonist
2-aminobenzenesulfonamide	Carbonic anhydrase inhibitor
WP-1130	Deubiquitinase inhibitor
BRD-A86415025	Glutamate receptor antagonist
picrotin	GABA receptor antagonist
uracil-mustard	DNA inhibitor
levisoprenaline	Adrenergic receptor agonist
naltriben-mesylate	Opioid receptor antagonist
chloropyramine	Histamine receptor antagonist
trolox	Antioxidant
ethosuximide	Succinimide antiepileptic
diclazuril	Antiprotozoal
usnic-acid	MAP kinase activator
BRD-K60287130	Glutamate receptor antagonist
clocortolone	Glucocorticoid receptor agonist
6-chloromelatonin	Melatonin receptor agonist
suramin	DNA inhibitor
ruboxistaurin	PKC inhibitor
isoflupredone	Glucocorticoid receptor agonist
istradefylline	Adenosine receptor antagonist
debrisoquine	Norepinephrine inhibitor
BRD-K54264597	Mineralocorticoid receptor antagonist
flumethasone-pivalate	Glucocorticoid receptor agonist
BRD-K04497194	MDM inhibitor|FXR antagonist|PXR ligand|Tyrosine phosphatase inhibitor|Vitamin D receptor agonist
methylphenidate	Dopamine receptor antagonist
bacitracin	Bacterial cell wall synthesis inhibitor
butylated-hydroxytoluene	Carbonic anhydrase inhibitor
risedronate	Osteoclast inhibitor
BRD-A66025870	Bacterial cell wall synthesis inhibitor
antalarmin	Corticosteroid antagonist
zoledronic-acid	Bone resorption inhibitor|Farnesyl pyrophosphate synthase inhibitor|Metalloproteinase inhibitor|Osteoclast inhibitor
streptozotocin	DNA alkylating agent
lufenuron	Chitin inhibitor
thonzonium	ATPase inhibitor
chlorzoxazone	Bacterial 30S ribosomal subunit inhibitor
BAY-11-7085	NFKB inhibitor
dichlorophen	Anticestodal agent
ronidazole	Antiprotozoal
LY-2365109	Glycine transporter inhibitor
LDN-212854	Bone resorption inhibitor
eucatropine	Acetylcholine receptor antagonist
deferoxamine-mesylate	Chelating agent|Antimetabolite|Beta amyloid inhibitor|Iron absorption inhibitor
BRD-K66715657	Dopamine receptor antagonist
